clean_date,Attendees
2017-01,30.0
2017-02,924.0
2017-03,2860.0
2017-04,845.0
2017-05,1270.0
2017-06,1250.0
2017-07,665.0
2017-08,6172.0
2017-09,2713.0
2017-10,1953.0
2017-11,1053.0
2017-12,540.0
2018-01,1477.0
2018-02,3636.0
2018-03,3739.0
2018-04,1201.0
2018-05,260.0
2018-06,360.0
2018-07,320.0
2018-08,710.0
2018-09,523.0
2018-10,1215.0
2018-11,4007.0
2018-12,510.0
2019-01,321671.0
2019-02,1125.0
2019-03,3037.0
2019-04,1520.0
2019-05,3280.0
2019-06,1970.0
2019-07,2081.0
2019-08,2661.0
2019-09,3215.0
2019-10,3155.0
2019-11,2245.0
2019-12,755.0
2020-01,125617.0
2020-02,1205.0
2020-03,840.0
2020-04,0.0
2020-05,303685.0
2020-06,1241678.0
2020-07,82698.0
2020-08,18562.0
