state,Attendees,state_name,lat,lng
,100.0,,37.09024,-95.712891
AK,4448.0,Alaska,64.2008413,-149.4936733
AL,9646.0,Alabama,32.3182314,-86.902298
AR,4909.0,Arkansas,35.20105,-91.8318334
AZ,26149.0,Arizona,34.0489281,-111.0937311
CA,281850.0,California,36.778261,-119.4179324
CO,26883.0,Colorado,39.5500507,-105.7820674
CT,23859.0,Connecticut,41.6032207,-73.087749
DC,34509.0,"Washington, DC",38.9071923,-77.0368707
DE,3551.0,Delaware,38.9108325,-75.52766989999999
FL,72560.0,Florida,27.6648274,-81.5157535
Fl,0.0,,37.09024,-95.712891
GA,30273.0,Georgia,32.1656221,-82.9000751
HI,12000.0,Hawaii,19.8967662,-155.5827818
IA,27752.0,Iowa,41.8780025,-93.097702
ID,2438.0,Idaho,44.0682019,-114.7420408
IL,80664.0,Illinois,40.6331249,-89.3985283
IN,22476.0,Indiana,40.2671941,-86.1349019
KS,12211.0,Kansas,39.011902,-98.4842465
KY,18825.0,Kentucky,37.8393332,-84.2700179
LA,15315.0,Louisiana,30.9842977,-91.96233269999999
MA,96714.0,Massachusetts,42.4072107,-71.3824374
MD,16710.0,Maryland,39.0457549,-76.64127119999999
ME,15845.0,Maine,45.253783,-69.4454689
MI,50572.0,Michigan,44.3148443,-85.60236429999999
MN,34562.0,Minnesota,46.729553,-94.6858998
MO,40352.0,Missouri,37.9642529,-91.8318334
MS,6433.0,Mississippi,32.3546679,-89.3985283
MT,8975.0,Montana,46.8796822,-110.3625658
Mi,40.0,,37.09024,-95.712891
NC,43366.0,North Carolina,35.7595731,-79.01929969999999
ND,4219.0,North Dakota,47.5514926,-101.0020119
NE,16570.0,Nebraska,41.4925374,-99.9018131
NH,15320.0,New Hampshire,43.1938516,-71.5723953
NJ,50731.0,New Jersey,40.0583238,-74.4056612
NM,12992.0,New Mexico,34.5199402,-105.8700901
NV,7820.0,Nevada,38.8026097,-116.419389
NY,152820.0,New York,40.7127753,-74.0059728
OH,33763.0,Ohio,40.4172871,-82.90712300000001
OK,9853.0,Oklahoma,35.0077519,-97.092877
OR,110086.0,Oregon,43.8041334,-120.5542012
PA,65104.0,Pennsylvania,41.2033216,-77.1945247
PR,0.0,,37.09024,-95.712891
RI,11245.0,Rhode Island,41.5800945,-71.4774291
SC,29992.0,South Carolina,33.836081,-81.1637245
SD,4063.0,South Dakota,43.9695148,-99.9018131
TN,36228.0,Tennessee,35.5174913,-86.5804473
TX,849693.0,Texas,31.9685988,-99.9018131
UT,26608.0,Utah,39.3209801,-111.0937311
VA,29541.0,Virginia,37.4315734,-78.6568942
VT,14586.0,Vermont,44.5588028,-72.57784149999999
WA,141710.0,Washington,47.7510741,-120.7401385
WI,37278.0,Wisconsin,43.7844397,-88.7878678
WV,3137.0,West Virginia,38.5976262,-80.4549026
WY,2190.0,Wyoming,43.0759678,-107.2902839
