State,Total_Shootings,Unarmed_Shootings_%,Black_Victims_%,Unarmed_Black_Victims_%,White_Victims_%,Unarmed_White_Victims_%,Hispanic_Victims_%,Unarmed_Hispanic_Victims_%,Latitude,Longitude
Alabama,13.925394548063128,23.92631578947368,35.99736842105264,27.573684210526316,63.873684210526314,12.463157894736838,2.5143092105263154,1.0,32.7794,-86.8287
Alaska,5.54519368723099,46.374999999999986,9.937499999999998,1.0,58.29166666666667,46.374999999999986,1.0,1.0,64.0685,-152.2782
Arizona,31.96413199426112,40.243243243243235,9.212837837837837,18.05743243243243,45.40878378378378,20.621621621621617,54.78526182432433,29.98648648648649,34.2744,-111.6602
Arkansas,10.800573888091822,23.37671232876712,39.1986301369863,35.58219178082192,60.33219178082192,8.45890410958904,1.0,1.0,34.8938,-92.4426
California,99.99999999999999,45.27460770328101,19.665477888730386,24.4083452211127,26.562054208273896,11.87446504992867,65.84958987161197,50.570613409415124,37.1841,-119.4696
Colorado,24.294117647058826,30.169642857142854,12.491071428571427,8.513392857142858,50.84375,17.20535714285714,42.10267857142856,16.321428571428573,38.9972,-105.5478
Connecticut,3.272596843615495,55.44999999999999,17.0875,1.0,51.737500000000004,28.224999999999994,44.15781249999999,65.35000000000001,41.6219,-72.7273
Delaware,1.8522238163558105,1.0,54.625,1.0,46.375,1.0,1.0,1.0,38.9896,-75.505
District of Columbia,2.278335724533716,42.88461538461538,100.0,98.09615384615385,0.9999999999999996,1.0,1.0,1.0,38.9101,-77.0147
Florida,46.45193687230989,46.374999999999986,37.74305555555556,71.125,44.388888888888886,11.08333333333333,23.644531249999996,8.944444444444443,28.6305,-82.4497
Georgia,23.299856527977045,51.72981366459627,48.29658385093168,63.72049689440994,44.04347826086957,17.90993788819876,9.041828416149066,16.987577639751553,32.6415,-83.4426
Hawaii,4.550932568149211,38.551724137931025,4.698275862068965,1.0,3.8448275862068964,1.0,5.960668103448275,1.0,20.2927,-156.3737
Idaho,5.687230989956958,15.716216216216214,3.8986486486486482,35.11486486486486,79.70945945945947,1.0,20.44045608108108,1.0,44.3509,-114.613
Illinois,14.493543758967,28.499999999999993,63.83333333333334,26.5,23.08333333333333,11.999999999999998,19.890625,14.000000000000002,40.0417,-89.1965
Indiana,13.357245337159254,30.917582417582413,36.357142857142854,28.741758241758248,59.92857142857143,18.95054945054945,7.323489010989009,1.0,39.8942,-86.2816
Iowa,4.835007173601148,36.129032258064505,25.21774193548387,1.0,75.78225806451613,36.129032258064505,1.0,1.0,42.0751,-93.49600000000001
Kansas,7.39167862266858,45.44897959183673,14.13265306122449,1.0,67.16836734693878,34.336734693877546,24.487244897959183,27.265306122448983,38.4937,-98.3804
Kentucky,12.78909612625538,19.775862068965512,19.49137931034483,15.508620689655173,75.3448275862069,13.517241379310343,5.960668103448275,1.0,37.5347,-85.3021
Louisiana,14.919655667144907,54.38235294117647,64.08823529411765,100.0,33.75735294117647,11.676470588235292,2.4103860294117645,1.0,31.0689,-91.9968
Maine,3.414634146341464,26.928571428571423,6.107142857142858,1.0,84.67857142857143,26.928571428571423,7.850446428571427,1.0,45.3695,-69.2428
Maryland,11.368723098995694,57.57142857142856,66.46428571428571,99.35714285714286,28.964285714285715,15.14285714285714,6.6049107142857135,1.0,39.055,-76.7909
Massachusetts,5.119081779053084,17.5,27.0,1.0,48.0,17.5,31.515624999999996,1.0,42.2596,-71.8083
Michigan,10.516499282639884,62.352112676056336,37.25352112676056,54.33450704225352,57.70422535211267,31.676056338028168,5.05237676056338,1.0,44.3467,-85.4102
Minnesota,8.954088952654232,55.44999999999999,18.874999999999996,22.0375,58.8875,46.374999999999986,8.192968749999999,1.0,46.2807,-94.3053
Mississippi,9.0961262553802,54.557377049180324,41.43852459016394,42.385245901639344,56.045081967213115,36.70491803278688,3.3583504098360653,1.0,32.7364,-89.6678
Missouri,18.044476327116215,40.520161290322584,42.516129032258064,21.358870967741936,55.0241935483871,31.737903225806445,4.48046875,1.0,38.3566,-92.458
Montana,4.550932568149211,1.0,1.0,1.0,85.20689655172413,1.0,1.0,1.0,47.0527,-109.6333
Nebraska,3.840746054519369,46.374999999999986,23.343750000000004,1.0,64.24999999999999,46.374999999999986,12.988281249999996,1.0,41.5378,-99.7951
Nevada,12.505021520803444,20.217647058823527,19.926470588235297,15.850000000000003,41.95882352941177,1.0,48.38897058823528,31.282352941176473,39.3289,-116.6312
New Hampshire,2.1362984218077474,1.0,1.0,1.0,100.0,1.0,1.0,1.0,43.6805,-71.5811
New Jersey,8.954088952654232,46.374999999999986,54.625,85.15,30.2875,10.074999999999998,20.18125,1.0,40.1907,-74.6728
New Mexico,13.64131994261119,36.129032258064505,2.153225806451613,14.572580645161292,22.733870967741932,6.854838709677419,100.0,56.35483870967744,34.4071,-106.1126
New York,13.215208034433287,25.199999999999996,55.816666666666656,43.075,34.458333333333336,7.049999999999999,13.7875,1.0,42.9538,-75.5268
North Carolina,21.453371592539455,15.716216216216214,37.957770270270274,1.0,56.52027027027027,15.716216216216214,8.77618243243243,1.0,35.5557,-79.3877
North Dakota,1.9942611190817792,99.99999999999999,1.0,1.0,51.24999999999999,99.99999999999999,1.0,1.0,47.4501,-100.4659
Ohio,21.16929698708752,49.48287671232875,42.13698630136986,18.29109589041096,54.45547945205479,38.2945205479452,1.9853381849315066,1.0,40.2862,-82.7937
Oklahoma,21.87948350071736,51.483443708609265,23.728476821192057,26.07781456953643,63.77649006622518,29.8476821192053,9.574399834437084,9.523178807947021,35.5889,-97.4943
Oregon,11.226685796269727,29.6578947368421,10.878289473684209,1.0,81.65460526315789,22.493421052631575,12.357319078947365,17.934210526315788,43.9336,-120.5583
Pennsylvania,13.925394548063128,58.3157894736842,48.415789473684214,54.14736842105263,45.81052631578947,23.92631578947368,10.085855263157892,28.094736842105267,40.8781,-77.7996
Rhode Island,1.0,1.0,54.625,1.0,19.5625,1.0,36.96484374999999,1.0,41.6762,-71.5562
South Carolina,11.7948350071736,14.612499999999997,37.196875,16.778125000000003,59.78125,7.806249999999998,4.596484375,1.0,33.9169,-80.8964
South Dakota,2.420373027259684,39.89285714285714,1.0,1.0,69.35714285714286,39.89285714285714,1.0,1.0,44.4443,-100.2263
Tennessee,18.186513629842178,22.779999999999998,27.598,31.294,69.11200000000001,9.711999999999998,4.452624999999999,1.0,35.858000000000004,-86.3505
Texas,60.939741750358664,49.570422535211264,25.924295774647888,45.44542253521127,36.808098591549296,20.172535211267608,48.953124999999986,25.16901408450704,31.4757,-99.3312
Utah,8.670014347202295,19.775862068965512,13.94396551724138,1.0,59.31896551724138,19.775862068965512,30.764008620689655,1.0,39.3055,-111.6703
Vermont,1.5681492109038737,69.0625,1.0,1.0,86.59375,1.0,1.0,1.0,44.0687,-72.6658
Virginia,13.499282639885223,48.347826086956516,47.6304347826087,83.32065217391305,45.209239130434774,6.918478260869564,7.2547554347826075,14.989130434782611,37.5215,-78.8537
Washington,18.32855093256815,39.89285714285714,18.874999999999996,11.017857142857142,48.92857142857143,13.964285714285712,24.976562499999993,21.42857142857143,47.3826,-120.4472
West Virginia,6.9655667144906745,12.836956521739129,19.652173913043477,1.0,79.0163043478261,12.836956521739129,1.0,1.0,38.6409,-80.6227
Wisconsin,12.931133428981347,31.937499999999996,25.374999999999996,44.03125,61.0,7.187499999999999,10.808593749999996,1.0,44.6243,-89.9941
Wyoming,2.278335724533716,42.88461538461538,1.0,1.0,67.0,1.0,23.132211538461537,100.0,42.9957,-107.5512
