Date,Location,Attendees,Event (legacy; see tags),Tags,Curated,Source,Total Articles,State,lat,lng
2017-01-20,"University of Washington, Seattle, WA",0.0,Racial Injustice,Civil Rights; For racial justice; Against invited speaker,Yes,http://komonews.com/news/local/woman-says-she-shot-man-at-uw-protest-to-prevent-stabbing,2, WA,47.65533509999999,-122.3035199
2017-01-26,"Ped Mall, Iowa City, IA",30.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://fox59.com/2017/01/30/fedex-backs-driver-who-stopped-protesters-from-burning-american-flag-in-iowa/,1, IA,41.65894,-91.53308430000001
2017-02-07,"Lebanon Valley College, Annville, PA",50.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://abc27.com/2017/02/07/protestors-push-for-positive-change-after-reported-racial-incident/,1, PA,40.3337415,-76.51507959999999
2017-02-09,"University of Michigan, Ann Arbor, MI",150.0,Racial Injustice,Civil Rights; For racial justice; For religious tolerance,Yes,https://www.michigandaily.com/section/news/students4justice-hold-sit-michigan-union,1, MI,42.2780436,-83.7382241
2017-02-13,"Charlottesville, VA",0.0,Racial Injustice,Civil Rights; For racial justice; Against Confederate symbol,Yes,http://www.wcyb.com/news/politics/va-gubernatorial-candidate-mobbed-by-protesters/331618692,1, VA,38.0293059,-78.47667810000002
2017-02-15,"Stamford, CT",30.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://www.stamfordadvocate.com/local/article/UConn-Stamford-students-rally-against-racism-10935399.php,1, CT,41.0534302,-73.5387341
2017-02-16,"Reading, PA",100.0,Racial Injustice,Civil Rights; For racial justice,No,http://www.readingeagle.com/news/article/kutztown-university-students-faculty-march-together-in-unity,1, PA,40.3356483,-75.9268747
2017-02-17,"Lumpking County, GA",200.0,Racial Injustice,Civil Rights; For racial justice; Against white supremacy,Yes,http://www.wsbtv.com/news/local/dozens-protest-kkk-sign-placed-on-historic-building/495203832,1, GA,34.5813972,-83.9744262
2017-02-17,"Philadelphia, PA",0.0,Racial Injustice,Civil Rights; For racial justice; For criminal justice reform,Yes,http://www.phillyvoice.com/flag-burned-officers-reportedly-injured-during-broad-street-protest/,1, PA,39.9525839,-75.1652215
2017-02-18,"New York, NY",20.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://www.amny.com/news/solemn-march-marks-japanese-american-internment-camp-order-1.13144130,1, NY,40.7127753,-74.0059728
2017-02-18,"Baltimore, MD",0.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://baltimore.cbslocal.com/2017/02/18/community-holds-crime-walk-to-end-violent-start-to-2017/,1, MD,39.2903848,-76.6121893
2017-02-18,"Fort Worth, TX",150.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://www.star-telegram.com/news/local/community/fort-worth/article133637104.html,1, TX,32.7554883,-97.3307658
2017-02-20,"Athens, OH",100.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://www.athensnews.com/news/campus/group-rallies-for-racial-justice-in-appalachia/article_56f10a86-f922-11e6-b3a8-3777345ca9a9.html,1, OH,39.3292396,-82.1012554
2017-02-24,"Lake Oswego, OR",4.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://portlandtribune.com/pt/9-news/347083-226740-pedestrian-struck-by-car-in-lake-oswego-during-protest,1, OR,45.415734,-122.7163273
2017-02-25,"Skowhegan, ME",20.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://www.pressherald.com/2017/02/25/protesters-in-skowhegan-rally-against-ku-klux-klan/,1, ME,44.76503659999999,-69.7193803
2017-02-25,"Metropolitan Museum of Art, Minneapolis, MN",0.0,Racial Injustice,Civil Rights; For white supremacy,No,https://www.nytimes.com/2017/02/27/arts/design/anti-trump-protest-minneapolis-institute-of-art.html?_r=0,1, MN,44.9585309,-93.27420339999999
2017-02-25,"Metropolitan Museum of Art, Minneapolis, MN",0.0,Racial Injustice,Civil Rights; For racial justice; Counter protest,Yes,https://www.nytimes.com/2017/02/27/arts/design/anti-trump-protest-minneapolis-institute-of-art.html?_r=0,1, MN,44.9585309,-93.27420339999999
2017-02-26,"Bethlehem Area Public Library, Bethlehem, PA",100.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://www.mcall.com/news/local/mc-bethlehem-trayvon-martin-hoodie-rally-20170226-story.html,1, PA,40.6182583,-75.3791806
2017-03-04,"Minneapolis, MN",150.0,Racial Injustice,Civil Rights; For racial justice,Yes,https://www.mprnews.org/story/2017/03/04/indianamericans-gather-at-an-eden-prairie-park-to-rally-against-hate,2, MN,44.977753,-93.2650108
2017-03-04,"Trenton, NJ",0.0,Racial Injustice,Civil Rights; For racial justice,No,http://www.nj.com/mercer/index.ssf/2017/03/group_rallies_against_racism_after_swastika_found.html,1, NJ,40.2205824,-74.759717
2017-03-05,"Selma, AL",1000.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://www.weau.com/content/news/52nd-anniversary-of-civil-rights-march-in-Selma-Alabama-415431163.html,1, AL,32.4073589,-87.02110069999999
2017-03-06,"Norcross, GA",10.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://www.ajc.com/news/protesters-show-embattled-gwinnett-commissioner-employer/xDcejjyWfg1whZG9p32jYM/,1, GA,33.9412127,-84.2135309
2017-03-07,"Chicago, IL",200.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://chicago.suntimes.com/news/cpd-use-of-force-change-prompting-black-lives-matter-protest/,1, IL,41.8781136,-87.6297982
2017-03-10,"Boston Common, Boston, MA",350.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://indianewengland.com/2017/03/350-indian-americans-attend-vigil-memory-srinivas-kuchibhotla-indian-engineer-killed-hate-crime/,1, MA,42.3554331,-71.0640442
2017-03-12,"Ferguson, MO",100.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://www.stltoday.com/news/local/crime-and-courts/ferguson-market-disputes-claims-as-new-michael-brown-documentary-prompts/article_fc382406-dbd5-5f53-aeda-4de3f2d5d31e.html,1, MO,38.7442175,-90.3053915
2017-03-12,"San Jose, CA",75.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://www.mercurynews.com/2017/03/12/anti-hate-rally-ramps-up-after-slur-filled-san-jose-altercation/,1, CA,37.3382082,-121.8863286
2017-03-15,"University of Illinois, Urbana, IL",10.0,Racial Injustice,Education; For racial justice,No,http://www.news-gazette.com/news/local/2017-03-16/ui-trustees-meeting-interrupted-protest-over-black-recruitment.html,1, IL,40.1019523,-88.2271615
2017-03-18,"Stevens Point, WI",100.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://www.greenbaypressgazette.com/story/news/2017/03/18/hmong-group-rallies-social-justice-hate-crime-charges-henry-kaminski-junction-city/99308400/,3, WI,44.52357920000001,-89.574563
2017-03-18,"Rock Hill, SC",0.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://www.heraldonline.com/news/local/article139408443.html,1, SC,34.9248667,-81.02507840000001
2017-03-20,"Washington, DC",20.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://theunn.com/2017/03/indian-americans-hold-rally-in-front-of-the-white-house-to-protest-against-hate-crimes/,1, DC,38.9071923,-77.0368707
2017-03-22,"Bowling Green, OH",0.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://www.13abc.com/content/news/Fliers-promoting-white-supremacy-spark-protest-at-BGSU-416888763.html,1, OH,41.3747744,-83.6513229
2017-03-24,"Akron, OH",45.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://www.ohio.com/news/police-chief-calls-racism-accusations-bulls-as-protesters-rally-after-shooting-of-black-man-over-dirt-bike-1.756078?cache=18961415304345%25252Fnews%25252Fohio%25252Fcss%25252Fresults%25,1, OH,41.0814447,-81.51900529999999
2017-03-25,"St. Louis, MO",200.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://www.stltoday.com/news/local/crime-and-courts/plus-take-part-in-st-louis-anti-violence-rally-march/article_ddb59457-0e5e-5fa7-85f7-1c86129a72e6.html,1, MO,38.6270025,-90.19940419999999
2017-03-26,"Albany, CA",300.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://www.eastbaytimes.com/2017/03/27/albany-high-rally-held-following-racist-social-media-posts/,1, CA,37.886704,-122.2977557
2017-03-30,"Easthampton, MA",100.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://www.gazettenet.com/Easthampton-High-School-students-hold-walkout-8988252,1, MA,42.266757,-72.66897999999999
2017-03-30,"Albany, CA",200.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://www.sfgate.com/crime/article/Albany-High-students-stage-sit-in-following-third-11040138.php,1, CA,37.886704,-122.2977557
2017-04-03,"Portland, ME",0.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://wgme.com/news/local/protesters-rally-outside-courthouse-ahead-of-motion-hearing,1, ME,43.6590993,-70.2568189
2017-04-03,"Flagstaff, AZ",0.0,Racial Injustice,Civil Rights; For racial justice,No,http://www.naztoday.com/news/protester-gather-at-nau-in-a-silent-march/article_69cba246-18ea-11e7-ab1b-9797839b8d81.html,1, AZ,35.1982836,-111.651302
2017-04-04,"Memphis, TN",200.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://www.semissourian.com/story/2400551.html,1, TN,35.1495343,-90.0489801
2017-04-08,"Boston, MA",20.0,Racial Injustice,Civil Rights; Education; For racial justice; Against firing/reassignment,No,https://www.bostonglobe.com/metro/2017/04/08/rally-supports-umass-boston-chancellor-wake-resignation/omVMre5MRe9fvSptc9oE5H/story.html,1, MA,42.3600825,-71.0588801
2017-04-09,"Waterville, ME",100.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://www.pressherald.com/2017/04/09/kkk-flyers-elicit-calls-for-unity-at-rally-in-waterville/,1, ME,44.5520105,-69.6317121
2017-04-18,"Portland, ME",25.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://www.pressherald.com/2017/04/18/about-25-protesters-disrupt-lepages-town-hall-at-usm/,2, ME,43.6590993,-70.2568189
2017-04-18,"Minneapolis, MN",100.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://www.startribune.com/anger-over-layoffs-of-educators-of-color-erupts-at-minneapolis-school-board-meeting/419786143/,1, MN,44.977753,-93.2650108
2017-04-26,"Independence, MO",200.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://www.kansascity.com/news/local/article146937394.html,2, MO,39.0911161,-94.41550679999999
2017-04-26,"South Burlington, VT",0.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://www.wcax.com/story/35258683/dueling-rallies-aim-to-promote-healing-in-south-burlington,1, VT,44.4669941,-73.1709604
2017-04-28,"Raleigh, NC",0.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://wlos.com/news/local/naacp-alliance-of-baptists-team-up-for-raleigh-protest,1, NC,35.7795897,-78.6381787
2017-04-29,"Yakima, WA",100.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://www.yakimaherald.com/news/local/yakima-crowd-stands-against-racism-at-franklin-park-rally/article_93ef6e2c-2d5d-11e7-869c-6b45d8e37624.html,1, WA,46.6020711,-120.5058987
2017-04-29,"Northfield, MN",100.0,Racial Injustice,Civil Rights; For racial justice,Yes,https://www.mprnews.org/story/2017/04/30/students-protest-racist-threats-at-st-olaf-plan-campus-boycott,1, MN,44.4582983,-93.161604
2017-05-01,"Waco, TX",100.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://www.wacotrib.com/news/higher_education/baylor-fraternity-s-mexican-themed-party-sparks-investigation-student-protest/article_641f0016-dd8c-5c93-a828-2827588c9dcc.html,1, TX,31.549333,-97.1466695
2017-05-01,"Northfield, MN",100.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://www.sctimes.com/story/news/local/minnesota/2017/05/01/students-protest-racism-st-olaf-college/101165488/,2, MN,44.4582983,-93.161604
2017-05-02,"American University, Washington, DC",100.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://thegardenisland.com/news/national/govt-and-politics/hundreds-march-at-american-university-after-noose-incident/article_0512158f-7409-50e8-b4e9-f11161a15246.html,1, DC,38.9374948,-77.08880289999999
2017-05-06,"Franklin Park, Columbus, OH",100.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://nbc4i.com/2017/05/06/people-call-for-racial-justice-at-march-in-franklin-park/,1, OH,39.96236340000001,-82.9603102
2017-05-06,"Asheboro, NC",60.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://www.greensboro.com/news/local_news/report-demonstrators-peaceful-at-asheboro-rallies-held-to-counter-kkk/article_10023bf4-96ff-51f7-a3a8-946d2568aa96.html,1, NC,35.7079146,-79.8136446
2017-05-06,"Baton Rouge, LA",20.0,Racial Injustice,Civil Rights; Anti-Semitic,No,http://www.theadvocate.com/baton_rouge/news/alton_sterling/article_735fb4da-3296-11e7-b824-cbf57a63beb1.html,1, LA,30.4514677,-91.18714659999999
2017-05-10,"Columbus, OH",50.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://thelantern.com/2017/04/students-protest-university-polices-detention-of-man-on-campus/,1, OH,39.9611755,-82.99879419999999
2017-05-15,"Waltham High School, Waltham, MA",600.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://waltham.wickedlocal.com/news/20180531/special-report-year-after-protest-waltham-students-see-better-teacher-diversity-more-work-to-be-done,2, MA,42.3944493,-71.22940369999999
2017-05-20,"Court Square, Memphis, TN",0.0,Racial Injustice,Civil Rights; For racial justice; Against Confederate symbol,Yes,https://www.thetimesnews.com/news/20190126/graham-demonstration-ordinance-could-be-open-to-challenge,2, TN,35.1460281,-90.0517831
2017-05-22,"Menomonie, WI",40.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://www.leadertelegram.com/News/Front-Page/2017/05/22/Standingfor-equality.html,1, WI,44.8755183,-91.9193422
2017-05-24,"Olympia, WA",100.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://www.theolympian.com/news/local/education/article152491379.html,2, WA,47.0378741,-122.9006951
2017-05-25,"Hutchinson Square, Summerville, SC",0.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://www.live5news.com/story/35520555/social-justice-groups-come-together-for-unity-rally-in-summerville,1, SC,33.0198706,-80.17535
2017-06-03,"Lynchburg, VA",20.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://www.newsadvance.com/news/local/lynchburgers-march-for-justice-question-city-initiative/article_504db47b-79b9-5b23-bda3-2f9e080643c1.html,1, VA,37.4137536,-79.14224639999999
2017-06-04,"Portland, OR",1000.0,Racial Injustice,Civil Rights; For racial justice,Yes,http://katu.com/news/local/downtown-protests-underway-heavy-police-presence-1-arrest,49, OR,45.5051064,-122.6750261
